State,Action,Q-value
"(-2, 0)","(0.5, 1.0, False, False, False)",-1213.859793252672
"(-2, 2)","(1.0, 1.0, False, False, False)",-1256.5964837861782
"(-2, 2)","(0.5, 1.0, False, False, False)",-1253.7682756425602
"(-2, 2)","(-0.5, 1.0, False, False, False)",-1249.8720426800778
"(1, 1)","(1.0, 1.0, False, False, False)",-466.0990130578066
"(-2, 2)","(-1.0, 1.0, False, False, False)",-1254.6535839532758
"(-2, 1)","(-1.0, 1.0, False, False, False)",-1211.5706827919278
"(1, 1)","(0, 1.0, False, False, False)",-442.62067784138037
"(-2, 0)","(-1.0, 1.0, False, False, False)",-1212.4284880844366
"(-2, 0)","(-0.5, 1.0, False, False, False)",-1214.7367632034834
"(-1, 2)","(-1.0, 1.0, False, False, False)",-305.3308330527229
"(-2, 0)","(0, 1.0, False, False, False)",-1138.7532112926538
"(-2, 1)","(0, 1.0, False, False, False)",-1214.5774396320694
"(-2, 1)","(-0.5, 1.0, False, False, False)",-1210.573737282581
"(-2, 0)","(1.0, 1.0, False, False, False)",-1221.4255021971867
"(-2, 2)","(0, 1.0, False, False, False)",-1256.604703636599
"(-1, 2)","(-0.5, 1.0, False, False, False)",-294.21580184483963
"(1, 1)","(-1.0, 1.0, False, False, False)",-434.26285435902173
"(-2, 1)","(1.0, 1.0, False, False, False)",-1221.4121016183933
"(-1, 2)","(0, 1.0, False, False, False)",-307.3357715633906
"(-2, 1)","(0.5, 1.0, False, False, False)",-1216.8178400166678
"(1, 0)","(-0.5, 1.0, False, False, False)",-556.2145278993248
"(-1, 1)","(0, 1.0, False, False, False)",-349.9834653724135
"(-1, 2)","(1.0, 1.0, False, False, False)",-306.10703498242304
"(2, 2)","(1.0, 1.0, False, False, False)",-1204.9740415234303
"(2, 2)","(-0.5, 1.0, False, False, False)",-1207.7644916360784
"(2, 2)","(-1.0, 1.0, False, False, False)",-1205.9989115897415
"(2, 2)","(0, 1.0, False, False, False)",-1204.559836230057
"(2, 2)","(0.5, 1.0, False, False, False)",-1205.7009698991108
"(2, 1)","(0.5, 1.0, False, False, False)",-1139.9163313675815
"(2, 1)","(-0.5, 1.0, False, False, False)",-1124.7857301120127
"(2, 1)","(0, 1.0, False, False, False)",-1140.4640082816622
"(2, 1)","(-1.0, 1.0, False, False, False)",-1118.713234710061
"(2, 1)","(1.0, 1.0, False, False, False)",-1131.6417919373816
"(2, 0)","(-0.5, 1.0, False, False, False)",-1179.013112627014
"(2, 0)","(0.5, 1.0, False, False, False)",-1169.5216476324904
"(2, 0)","(0, 1.0, False, False, False)",-1182.2245180624025
"(2, 0)","(1.0, 1.0, False, False, False)",-1183.6552344525169
"(2, 0)","(-1.0, 1.0, False, False, False)",-1175.6578845777476
"(1, 2)","(0.5, 1.0, False, False, False)",-520.2786929979407
"(1, 2)","(-0.5, 1.0, False, False, False)",-496.92917783520164
"(1, 2)","(-1.0, 1.0, False, False, False)",-525.793916224969
"(1, 2)","(0, 1.0, False, False, False)",-522.6543206866917
"(1, 2)","(1.0, 1.0, False, False, False)",-493.5055577893098
"(1, 1)","(-0.5, 1.0, False, False, False)",-438.78138160023093
"(1, 0)","(0, 1.0, False, False, False)",-581.3640483450238
"(1, 1)","(0.5, 1.0, False, False, False)",-419.39150242900615
"(-1, 2)","(0.5, 1.0, False, False, False)",-239.24828340998513
"(-1, 0)","(-1.0, 1.0, False, False, False)",-397.7790442284721
"(-1, 1)","(0.5, 1.0, False, False, False)",-427.7922579675062
"(-1, 0)","(0.5, 1.0, False, False, False)",-409.8111285315756
"(-1, 1)","(-1.0, 1.0, False, False, False)",-424.1866089085558
"(-1, 1)","(1.0, 1.0, False, False, False)",-359.95329422730634
"(1, 0)","(0.5, 1.0, False, False, False)",-564.086197188177
"(1, 0)","(-1.0, 1.0, False, False, False)",-570.7738509684273
"(1, 0)","(1.0, 1.0, False, False, False)",-565.8169004859933
"(-1, 0)","(0, 1.0, False, False, False)",-398.2419419470924
"(-1, 0)","(1.0, 1.0, False, False, False)",-401.6595545008736
"(-1, 1)","(-0.5, 1.0, False, False, False)",-432.0621556823554
"(-1, 0)","(-0.5, 1.0, False, False, False)",-400.2121404305763
